match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by,win_margin,player_of_match,umpire1,umpire2,tv_umpire,match_referee
1211668,2020,13/03/2020,Karachi,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,runs,3,Zeeshan Ashraf,MA Gough,Rashid Riaz,Ahsan Raza,RS Mahanama
1211669,2020,14/03/2020,Karachi,"National Stadium, Karachi",Karachi Kings,Islamabad United,Karachi Kings,field,Karachi Kings,wickets,4,Sharjeel Khan,MA Gough,Ahsan Raza,Rashid Riaz,RS Mahanama
1211670,2020,15/03/2020,Lahore,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans,Lahore Qalandars,field,Lahore Qalandars,wickets,9,CA Lynn,Shozab Raza,Aleem Dar,Asif Yaqoob,
1211671,2020,15/03/2020,Karachi,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Quetta Gladiators,wickets,5,SR Watson,MA Gough,Rashid Riaz,Ahsan Raza,RS Mahanama
1211672,2021,14/11/2020,Karachi,"National Stadium, Karachi",Multan Sultans,Karachi Kings,Karachi Kings,field,No Result,,0,Babar Azam,MA Gough,Rashid Riaz,Asif Yaqoob,Mohammed Anees
1211673,2021,14/11/2020,Karachi,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,wickets,5,Mohammad Hafeez,Shozab Raza,Aleem Dar,Ahsan Raza,Muhammad Javed
1211675,2021,15/11/2020,Karachi,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans,Multan Sultans,field,Lahore Qalandars,runs,25,D Wiese,MA Gough,Aleem Dar,Shozab Raza,Mohammed Anees
1231146,2021,17/11/2020,Karachi,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings,Lahore Qalandars,bat,Karachi Kings,wickets,5,Babar Azam,MA Gough,Aleem Dar,Ahsan Raza,Mohammed Anees
1247011,2021,20/02/2021,Karachi,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings,Karachi Kings,field,Karachi Kings,wickets,7,Arshad Iqbal,Ahsan Raza,Aleem Dar,Rashid Riaz,RS Mahanama
1247012,2021,21/02/2021,Karachi,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,wickets,4,Shaheen Shah Afridi,Rashid Riaz,Shozab Raza,Zameer Haider,Iftikhar Ahmed
